area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00174710,16,21,19,19,17,28,19,23,17,22,16,12,6,6,1,0,2,2
E00174711,16,15,14,12,16,9,11,18,25,17,14,15,6,10,7,2,2,1
E00174712,13,10,16,18,16,35,25,31,16,16,33,22,9,11,0,2,0,0
E00174713,16,18,18,17,29,46,40,34,27,28,29,22,32,15,12,6,5,2
E00174714,12,5,2,7,13,8,5,11,8,8,7,7,6,5,2,1,3,0
E00174715,26,21,22,14,17,26,44,45,26,33,26,16,9,3,4,1,1,1
E00174716,12,10,11,11,11,15,13,16,15,13,18,23,9,11,3,14,7,13
E00174717,9,26,18,11,10,8,11,20,36,8,11,7,2,8,4,1,0,0
E00174718,33,23,17,18,11,15,35,10,31,13,21,21,26,12,4,2,0,1
E00174719,13,14,22,20,29,29,24,19,16,21,20,17,10,5,3,2,1,1
E00174720,20,7,16,18,17,28,24,17,21,19,19,24,14,10,4,1,2,3
E00174721,14,11,31,17,25,27,26,21,30,20,37,24,24,20,6,4,6,6
E00174723,18,24,18,19,24,39,43,34,37,27,24,37,30,18,12,10,9,13
E00174724,24,33,27,17,25,27,32,36,35,30,23,13,9,7,7,3,3,0
E00174726,8,18,20,20,52,30,26,19,10,30,29,41,16,20,12,6,1,4
E00174727,15,19,27,12,32,32,35,36,28,16,24,29,23,18,12,3,6,6
E00174728,21,18,15,12,19,16,40,29,25,17,16,13,11,7,7,1,1,3
E00174729,34,30,21,21,23,65,75,68,34,36,26,21,16,8,4,3,1,1
E00174730,3,6,4,1,4,31,22,21,15,15,16,4,2,2,0,0,0,0
E00174731,18,20,46,33,35,42,30,21,24,27,32,17,30,14,10,4,4,7
E00174733,18,31,19,26,31,20,30,31,27,16,22,22,20,9,3,1,3,1
E00174735,22,21,30,35,42,28,17,25,28,38,26,25,18,5,6,0,3,1
E00174736,18,19,37,36,23,29,12,16,22,29,36,23,28,17,7,7,7,3
E00174738,18,19,34,33,28,46,32,26,30,28,37,29,15,20,24,21,9,30
E00174741,17,21,19,22,135,113,84,58,33,18,18,12,5,3,4,1,0,0
E00174742,5,6,6,2,31,59,47,26,12,4,8,7,2,3,3,3,2,1
E00174744,1,6,6,7,18,22,20,12,16,12,7,11,4,3,3,1,0,1
E00174745,6,25,16,22,30,46,30,31,24,20,21,16,13,14,4,0,1,4
E00174747,28,36,46,52,46,50,43,40,50,36,40,28,17,5,11,9,3,3
E00174749,4,6,5,5,3,10,21,11,14,12,10,5,4,0,0,0,0,0
E00174752,11,9,10,1,15,49,41,29,28,22,11,17,10,5,8,10,2,5
E00174753,7,3,1,4,48,81,55,24,14,5,8,4,1,2,0,1,1,0
E00174755,24,17,15,13,19,29,23,15,23,13,24,15,9,5,4,5,6,2
E00174756,14,15,12,40,211,87,79,44,37,35,22,12,9,1,2,1,0,0
