msoa,centroid_easting,centroid_northing,station,station_easting,station_northing,postcode,station_postcode_distance,distance_to_msoa_centroid
E02005319,333271.9134,447805.929500001,Fisherman's Walk (Blackpool Tramway),333280.3333333333,447540.0,FY7 6RU,5.3513245668531285e-06,0.2658857451183488
E02006904,457630.9319,339419.937000001,Nottingham Tram ,457518.0,339212.5,NG2 3AP,1.1838400703881913e-05,0.23593445720345407
E02002901,456374.2068,336063.0449,Ruddington Lane Rec.,456740.5,336071.0,NG117HP,5.165791220767923e-06,0.3653102610839016
E02002876,454594.5457,343165.785499999,David Lane Tram ,455006.3333333333,343374.6666666667,NG6 0BY,8.528038131740236e-06,0.460608115058586
E02005328,332819.6367,443041.308599999,West Drive (Blackpool Tramway),331793.0,443179.6666666667,FY5 2UL,3.6646495837671976e-06,1.0328548676962397
E02001776,431782.5787,564812.4407,Jarrow (Tyne and Wear Metro),432505.0,565105.0,NE323NL,1.0505150649476889e-05,0.7773031633409758
E02001702,427557.7041,559465.687999999,Felling (Tyne and Wear Metro),427555.0,562120.0,NE100JB,9.481290208174614e-06,2.652230318761297
E02001804,435794.2999,556436.6196,South Hylton (Tyne and Wear Metro),435477.0,556710.0,SR4 0LN,5.0271529692545765e-06,0.41797198308366756
E02005329,333802.4004,442820.210999999,West Drive (Blackpool Tramway),331793.0,443179.6666666667,FY5 2UL,3.6646495837671976e-06,2.03532150934417
E02004976,511142.5568,196594.796,Watford Underground,509579.5,196597.0,WD187LE,1.1015838592401967e-06,1.5584384356594712
E02002635,331229.4124,440050.3718,Sandhurst Avenue (Blackpool Tramway),330912.6666666667,440220.0,FY2 9AY,4.563648081971449e-06,0.3584097055984739
E02001715,422283.6223,567375.8069,Fawdon (Tyne and Wear Metro),422825.0,568855.0,NE3 2RJ,3.669299911517884e-06,1.5734808849917454
E02001740,434809.8428,572871.5682,Monkseaton (Tyne and Wear Metro),434782.0,572090.0,NE261NW,5.174538117879901e-06,0.7814292007446668
E02002647,331728.8976,434315.019300001,St Chad's (Blackpool Tramway),330575.3333333333,434531.0,FY1 6AF,1.2547513987443485e-05,1.170181939353316
E02002868,455487.1663,346019.828600001,Moor Bridge Tram ,454641.0,346666.6666666667,NG6 8AB,1.7035883943142565e-05,1.0629534423245381
E02005520,619269.8715,326584.942500001,Aylsham (Bure Valleyway),619560.0,326495.0,NR116LE,1.365871907537005e-05,0.30278469395288254
E02004974,510124.398,197945.082,Watford Underground,509579.5,196597.0,WD187LE,1.1015838592401967e-06,1.4529178915934975
E02004959,504926.2816,195776.274599999,Rickmansworth Underground,505717.5,194602.0,WD3 1QY,1.2450378759607245e-06,1.41438502950729
E02002883,458778.7456,341769.556399999,Lace Market Tram ,457509.6666666667,339854.3333333333,NG1 1QQ,3.2952962002609423e-06,2.294644126471188
E02002871,454571.0485,344890.4307,Bulwell Tram ,454084.3333333333,345005.3333333333,NG6 9AB,4.152058354711302e-06,0.4987044224922032
E02007095,422629.2352,571387.648499999,Fawdon (Tyne and Wear Metro),422825.0,568855.0,NE3 2RJ,3.669299911517884e-06,2.5381529926012614
E02001743,435728.7915,571963.793,Whitley  (Tyne and Wear Metro),435708.0,571862.0,NE262QT,4.1844772189456586e-06,0.10380087406514295
E02002875,455333.0654,343816.419199999,David Lane Tram ,455006.3333333333,343374.6666666667,NG6 0BY,8.528038131740236e-06,0.548699286420241
E02001808,438290.8332,556212.937899999,Millfield (Tyne and Wear Metro),438485.0,557038.0,SR4 7EW,6.646158963499704e-06,0.8468283004835611
E02001758,431273.3879,568821.5715,Palmersville (Tyne and Wear Metro),429450.0,570030.0,NE129EF,1.8013091222459567e-05,2.1823997838504274
E02007098,428164.6003,564874.835100001,Chillingham Road (Tyne and Wear Metro),427510.0,565442.0,NE6 2XB,6.376654117618235e-06,0.8643600365366803
E02001718,421015.995,566928.016899999,Bank Foot (Tyne and Wear Metro),420683.0,568877.0,NE138AD,5.90286951043816e-06,1.9755436118865666
E02005862,450881.7336,335978.7246,Eskdale Drive Tram ,450987.0,336147.0,NG9 5FS,1.2174597837279814e-05,0.19825446763409726
E02001796,440174.6638,558526.0285,Stadium Of Light (Tyne and Wear Metro),439654.0,558344.0,SR5 1HX,2.3172311102856656e-05,0.5500322527765139
E02001782,431513.5206,563328.347999999,Hebburn (Tyne and Wear Metro),430792.0,564663.0,NE311NY,1.691219566704845e-05,1.5152561035020276
E02002872,453294.0478,344725.6613,Bulwell Tram ,454084.3333333333,345005.3333333333,NG6 9AB,4.152058354711302e-06,0.8360782274942237
E02004961,507745.144,195576.2117,Croxley Underground,507912.0,195400.5,WD3 3DG,1.0178049390592494e-06,0.24194126104694536
E02005864,450061.5582,334771.4331,Tram Park & Ride,449695.0,335922.5,NG9 7JB,3.902563502947683e-05,1.207205739089693
E02001780,438006.494,563928.047499999,Tyne Dock (Tyne and Wear Metro),435835.0,564760.0,NE340AG,1.4964793822518335e-05,2.3190964256902165
E02001719,427108.6876,566629.864399999,Chillingham Road (Tyne and Wear Metro),427510.0,565442.0,NE6 2XB,6.376654117618235e-06,1.2525563692536092
E02005747,398780.3784,451094.412799999,Embsay (Embsay & Bolton Abbeyway),400643.0,453282.0,BD236QQ,1.6725398288067464e-05,2.8685665595114216
E02002641,332421.5413,436750.9322,North (Blackpool Tramway),330971.0,436596.0,FY1 2AY,6.891334305300824e-06,1.454483295058147
E02005206,332231.2695,430291.4027,Starr  (Blackpool Tramway),330505.3333333333,431803.6666666667,FY4 1SY,9.220313038733747e-06,2.29014406571059
E02001747,435875.4766,571062.659,Cullercoats (Tyne and Wear Metro),436130.0,571315.0,NE304PD,1.5758689386192928e-05,0.3577164600271723
E02002882,457368.4805,341927.5001,High School Tram ,456410.3333333333,340893.6666666667,NG7 4DX,5.870503241297695e-06,1.4072495198923116
E02001749,428388.3413,570954.534499999,Palmersville (Tyne and Wear Metro),429450.0,570030.0,NE129EF,1.8013091222459567e-05,1.4049207779624973
E02001746,434559.8814,571620.7818,Monkseaton (Tyne and Wear Metro),434782.0,572090.0,NE261NW,5.174538117879901e-06,0.5185011526282388
E02001811,435754.8007,555292.451099999,South Hylton (Tyne and Wear Metro),435477.0,556710.0,SR4 0LN,5.0271529692545765e-06,1.4432717918175184
E02001751,427590.2929,570134.0943,Benton (Tyne and Wear Metro),427738.0,568880.0,NE128BN,8.54909341492562e-06,1.261721209984478
E02004903,512387.3304,196952.0195,Watford Underground,509579.5,196597.0,WD187LE,1.1015838592401967e-06,2.8218901565168877
E02001695,430130.044,561484.053099999,Pelaw (Tyne and Wear Metro),429392.0,562095.0,NE100UP,1.2587342438172038e-05,0.956104687696271
E02006877,517723.3095,295963.969599999,Orton Mere (Nene Valleyway),516638.0,297157.0,PE2 7DZ,1.5284456553967966e-05,1.6102356133244746
E02004977,510359.8987,196018.686799999,Watford Underground,509579.5,196597.0,WD187LE,1.1015838592401967e-06,0.9693956918585345
E02002651,331617.3025,432366.9846,Burlington Road West (Blackpool Tramway),330538.3333333333,432851.0,FY4 1NU,7.904260878934069e-06,1.1794617013683426
E02004021,339000.1383,486041.2305,Lakeside (Lakeside & Haverthwaite Rly),337871.0,487393.0,LA128AT,2.419644524541509e-05,1.7583529269115383
E02002902,455400.5524,334888.559900001,Rivergreen Tram ,455599.3333333333,334701.3333333333,NG118AG,1.8927679114615665e-05,0.2725958976382307
E02001757,434280.3453,568938.079399999,North Shields (Tyne and Wear Metro),435362.0,568330.0,NE290BH,9.147731535347966e-06,1.237802315825988
E02005910,458444.4532,337247.750399999,Wilford Lane Tram ,456825.3333333333,336832.6666666667,NG117AX,2.122469175638994e-05,1.666826457500832
E02003246,518242.1881,300794.2062,Peterborough (Nene Valleyway),518859.0,298083.0,PE2 9NR,9.203504983816271e-06,2.7786810207621984
E02002896,458781.5405,339727.6095,Lace Market Tram ,457509.6666666667,339854.3333333333,NG1 1QQ,3.2952962002609423e-06,1.2744738544090026
E02002869,453909.1773,345846.3814,Bulwell Forest Tram ,454423.3333333333,345663.0,NG6 9JP,1.3045194417824362e-05,0.5444455428424301
E02001764,434669.7873,567423.115599999,Meadow Well (Tyne and Wear Metro),434302.0,567585.0,NE296BB,1.0757091065671856e-05,0.40077804832850983
E02001693,427642.1058,561450.9038,Felling (Tyne and Wear Metro),427555.0,562120.0,NE100JB,9.481290208174614e-06,0.6741891768130548
E02002889,456513.3432,340558.9769,High School Tram ,456410.3333333333,340893.6666666667,NG7 4DX,5.870503241297695e-06,0.34994580825012955
E02001812,439026.7239,555290.499,University (Tyne and Wear Metro),439071.0,556627.0,SR2 7PT,9.623986021773271e-06,1.3361769278099789
E02005913,459317.4112,335603.385199999,Compton Acres Tram ,456744.0,336071.0,NG117HP,5.926510869773377e-06,2.608144226504758
E02001765,431962.4401,566908.737299999,Howdon (Tyne and Wear Metro),432440.0,566900.0,NE280BD,8.193937073762776e-06,0.4762036846539876
E02001792,440163.5636,559669.840500001,Seaburn (Tyne and Wear Metro),439420.0,559575.0,SR6 8NQ,1.1259201236296158e-05,0.7473535016810867
E02007096,421580.3013,569272.732000001,Kingston Park (Tyne and Wear Metro),421515.0,568920.0,NE3 2SW,1.2444331613499074e-05,0.35841343751923316
