Location ID,Location HSCA start date,Care home?,Location Name,Location Region,Location Local Authority,Location Street Address,Location City,Location Postal Code,Location Latitude,Location Longitude,Location Parliamentary Constituency,Provider Nominated Individual Name,"Regulated activity - Treatment of disease, disorder or injury",Service type - Care home service with nursing,Service type - Care home service without nursing,Service user band - Children 0-18 years,Service user band - Dementia,Service user band - Learning disabilities or autistic spectrum disorder,Service user band - Mental Health,Service user band - Older People,Service user band - Physical Disability,Service user band - Sensory Impairment,Service user band - Younger Adults,num_values_found,num_values_found.1,lad,msoa,area,Care homes beds,occupancy_mean,%occupancy_mean,probability_mean,occupancy_std,%occupancy_std,probability_std
1-125046787,2010-12-21,Y,St John of God Care Services Lindisfarne,North East,Darlington,Lindisfarne Court,Darlington,DL1 2DZ,54.540444,-1.522033,Darlington,"Alcorn, Lisa",,,Y,,,Y,,,,,,2,2,E06000005,E02002563,E00062166,13,12.0,96.0,0.85795,1.0,5.4393,0.07122
1-125856184,2011-02-15,Y,Hundens Park,North East,Darlington,Hundens Lane,Darlington,DL1 1JF,54.528671,-1.535953,Darlington,"O'Reilly, Michael",Y,Y,,,Y,,,Y,Y,,Y,3,3,E06000005,E02002567,E00188207,49,42.0,86.0,0.94838,0.0,0.0,0.03108
1-125861622,2011-02-15,Y,North Park,North East,Darlington,L'Anson Street,Darlington,DL3 0SW,54.543428,-1.557565,Darlington,"O'Reilly, Michael",,,Y,,Y,,Y,Y,Y,,Y,4,4,E06000005,E02002562,E00062288,60,52.0,86.0,0.86117,4.0,7.2489,0.13729
1-126240410,2010-11-25,Y,Elderwood Residential Home,North East,Darlington,Westmoreland Street,Darlington,DL3 0FB,54.540273,-1.554316,Darlington,"Martin, Robert",,,Y,,Y,,,Y,,,Y,3,3,E06000005,E02002562,E00062300,40,37.0,93.0,0.93305,2.0,5.7735,0.02992
1-126823537,2010-12-10,Y,Middleton St George Healthcare Limited,North East,Darlington,24 Station Road,Darlington,DL3 6SU,54.53434,-1.554526,Darlington,"Stone, Jane",Y,Y,,,,,Y,,,,Y,2,2,E06000005,E02007058,E00062312,3,2.0,83.0,0.94933,1.0,23.5702,0.06899
1-132341278,2011-01-28,Y,Middleton Lodge,North East,Darlington,Station Road,Darlington,DL2 1JA,54.517687,-1.469699,Sedgefield,*,,,Y,,,Y,Y,,,,,1,1,E06000005,E02002573,E00062263,10,8.0,80.0,0.96735,,,
1-132341348,2011-01-28,Y,Firtree House,North East,Darlington,37 Pease Street,Darlington,DL1 4EX,54.522302,-1.534264,Darlington,*,,,Y,,,Y,,,,,,2,2,E06000005,E02002570,E00062051,10,8.0,75.0,0.85764,1.0,7.0711,0.16559
1-132771847,2010-12-30,Y,Holicote,North East,Darlington,93 Newton Lane,Darlington,DL3 9HH,54.540128,-1.592887,Darlington,"Stroyan, James",,,Y,,,Y,,Y,,,Y,4,4,E06000005,E02002564,E00062095,5,2.0,40.0,0.81761,1.0,28.2843,0.18788
1-137331161,2011-02-16,Y,Clervaux Trust,North East,Darlington,11 Abbey Road,Darlington,DL3 7RA,54.525138,-1.564623,Darlington,"Bown, Leigh",,,Y,,,Y,Y,,,,Y,2,2,E06000005,E02002568,E00062112,3,2.0,83.0,0.98273,1.0,23.5702,0.02175
1-1475546653,2014-07-01,Y,Bewick House,North East,Darlington,86 Whinfield Road,Darlington,DL1 3HW,54.543225,-1.52017,Darlington,"Cannon, Andrew",,,Y,,,Y,,,,,Y,4,4,E06000005,E02002561,E00062181,6,6.0,96.0,0.76004,4.0,75.0,0.05526
1-2503001605,2016-10-05,Y,Eastbourne Care Home,North East,Darlington,5-7 Cobden Street,Darlington,DL1 4JF,54.522033,-1.532212,Darlington,"Carr, Sandra",Y,Y,,,Y,,,Y,,,,3,3,E06000005,E02002570,E00062050,41,32.0,79.0,0.81087,5.0,11.2654,0.09844
